Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness, seed
250000,5350,231.856,1,424,20623,2327.88,383.68,24799.8,3.52035e+06, 1
250000,6763,263.735,1,549,15785.6,909.686,125.37,9771.25,615443, 10
250000,10922,973.524,1,1485,292308,402.906,70.8476,3978.95,145911, 100
250000,13380,770.957,1,1078,66227.8,567.995,181.731,3122.06,99092.1, 101
250000,6688,130.314,1,284,2106.21,1487.01,110.912,22387.7,3.45442e+06, 102
250000,5759,205.191,1,469,12877.8,1823.88,133.785,69705,5.95639e+06, 103
250000,5987,233.648,1,388,10076.7,1367.53,173.382,17637.4,1.63373e+06, 104
250000,5868,257.083,1,449,16133.9,1754.54,357.67,44842.3,2.67434e+06, 105
250000,12501,917.462,1,1456,211749,559.498,188.269,4558.57,126593, 106
250000,17442,1191.17,1,1756,345444,1412.07,426.252,17215.2,764793, 107
250000,5755,100.019,1,238,1590.69,1018.67,58.453,11155.3,799702, 108
250000,7096,395.485,1,656,42356.6,522.804,105.436,13187.2,207625, 109
250000,4897,66.153,1,153,425.329,632.74,69.3379,9503.83,331901, 11
250000,13566,899.627,1,1433,232090,1193.74,328.62,10064,607744, 110
250000,8342,404.399,1,807,49691.3,1945.24,521.84,28104.3,1.79742e+06, 111
250000,4725,47.4443,1,81,113.625,639.854,91.1035,3150.32,145285, 112
250000,8717,164.485,1,295,3775.77,1625.99,267.988,24556.1,1.64378e+06, 113
250000,7198,66.1206,1,152,340,550.086,59.6544,6592.9,138987, 114
250000,5850,139.047,1,225,2308.32,1460.26,115.928,13712.6,2.03987e+06, 115
250000,6709,280.604,1,416,12964.7,860.582,63.6503,9338.37,787096, 116
250000,12987,917.32,1,2116,228377,670.496,163.602,20137,676079, 117
250000,7630,286.379,1,474,10577.7,788.442,185.609,6079.94,211515, 118
250000,20379,1487.59,1,2138,452734,1485.53,459.058,17802.3,1.05734e+06, 119
250000,16450,1034.75,1,2282,351362,919.27,275.508,16432.6,377753, 12
250000,5392,102.28,1,181,1268.55,1168.33,68.9702,16200.6,1.43159e+06, 120
250000,11114,418.43,1,702,37092.4,1342.23,338.166,9210.2,543851, 121
250000,6828,189.381,1,497,8354.56,934.948,83.5118,10585.8,644340, 122
250000,9395,466.91,1,751,38577,739.995,107.737,19605.1,653517, 123
250000,12980,591.757,1,779,40950.3,687.152,184.91,6330.87,195848, 124
250000,4533,88.6921,1,219,1608.96,1794.15,69.7654,17129.1,5.53114e+06, 125
250000,3790,47.0725,1,117,404.332,1684.28,165.339,38835.1,3.25156e+06, 126
250000,9843,307.376,1,673,32298.8,1759.74,150.225,24313.3,6.0797e+06, 127
250000,6725,293.689,1,518,17826.2,1117.91,292.098,10402,505002, 128
250000,12497,1119.85,1,1574,307802,1063.34,323.532,5180.53,263734, 129
250000,6863,90.5998,1,145,730.844,1598.8,149.384,19032,1.50289e+06, 13
250000,7747,405.979,1,746,42774.5,1264.59,234.25,26418.1,2.26317e+06, 130
250000,5540,79.0833,1,138,389.69,2261.83,414.901,38276.8,2.26487e+06, 131
250000,10483,779.826,1,1549,314995,1029.65,286.795,87147.1,3.37654e+06, 132
250000,13069,1089.93,1,1918,322313,722.067,195.47,14987.9,607293, 133
250000,10179,387.627,1,1187,96535.9,775.496,215.325,6095.9,256360, 134
250000,5702,246.49,1,474,21470.9,2202.87,301.512,14100.4,1.64277e+06, 135
250000,4820,83.269,1,311,1109.92,1211.57,95.5308,30744.1,2.36382e+06, 136
250000,5631,120.678,1,180,1230.24,1131.85,89.2933,11474.1,898876, 137
250000,12809,999.866,1,1335,156556,772.817,246.546,9464.74,220137, 138
250000,9612,478.789,1,1025,101777,1389.17,103.384,22936.5,2.83761e+06, 139
250000,11430,645.7,1,1002,85552.8,836.508,210.616,7770.43,430293, 14
250000,6990,286.34,1,443,11328.1,1273.84,171.021,15650.2,1.49252e+06, 140
250000,11622,723.472,1,1037,97943.6,1094.93,261.65,16262,521974, 141
250000,11283,482.037,1,614,19043.5,667.276,189.025,13950.7,310191, 142
250000,10488,245.834,1,904,28289.5,1579.76,43.1349,25087,6.76847e+06, 143
250000,22371,1426.33,1,2430,423832,1404.1,471.165,43311.8,1.29423e+06, 144
250000,6392,362.552,1,623,51163.8,1415.1,145.206,12365.5,1.72043e+06, 145
250000,6686,326.303,1,494,23832.4,1789.72,305.472,27044.2,1.82222e+06, 146
250000,11101,203.821,1,323,7378.55,770.125,119.709,6195.24,220683, 147
250000,11388,755.938,1,1171,121397,650.426,186.637,13026.6,278170, 148
250000,8134,445.778,1,1497,195678,1030.9,226.642,11641.8,413221, 149
250000,10349,801.073,1,1363,222143,548.624,52.0535,5446.15,332415, 15
250000,10599,153.058,1,221,913.873,502.918,131.152,4282.97,89808.3, 150
250000,16388,1167.27,1,1800,313236,1265.01,366.441,8325.63,502805, 151
250000,5470,125.302,1,192,1437.14,1417.06,261.003,16595.7,963113, 152
250000,6060,278.787,1,475,19816.6,1171.25,86.2498,17641.6,1.77219e+06, 153
250000,6098,159.463,1,232,2806.4,449.378,59.9197,10391.3,193206, 154
250000,5928,172.861,1,361,8436.5,1705.62,83.2489,24010.8,3.98818e+06, 155
250000,7324,179.482,1,716,10781.5,2292.9,156.937,37653,1.31412e+07, 156
250000,21039,1107.62,1,2466,376993,1498.68,342.85,9046.56,1.0008e+06, 157
250000,3728,161.784,1,377,18889.2,2058.29,351.997,24039,1.98922e+06, 158
250000,17910,1301.39,1,2188,650525,1407.59,494.366,8711.58,725942, 159
250000,5809,120.22,1,318,3609.14,891.712,165.536,7346.9,442137, 16
250000,8211,190.68,1,444,8340.82,1611.49,33.4507,13672.4,3.50986e+06, 160
250000,22749,1507.23,1,2503,479780,1481.76,500.049,27410.3,1.01199e+06, 161
250000,10402,282.023,1,394,4509.9,413.135,74.036,3706.65,66863, 162
250000,6103,244.165,1,383,9472.26,1099.21,114.938,16980.7,983201, 163
250000,19899,1208.9,1,2285,341180,1469.07,510.621,22865.7,1.13329e+06, 164
250000,10812,553.649,1,954,72210.7,690.368,184.861,7871.92,216203, 165
250000,7671,192.892,1,289,4017.25,958.874,217.088,7888.34,339967, 166
250000,2886,100.96,1,158,1642.11,1777.17,324.503,18421.9,1.20644e+06, 167
250000,7867,278.752,1,365,7145.1,1241.04,291.77,6550.69,384405, 168
250000,7812,353.274,1,831,64578.4,1465.62,66.0904,27531.9,2.62796e+06, 169
250000,8499,382.198,1,1027,82661.1,1537.58,320.77,16139.8,1.35061e+06, 17
250000,8088,333.821,1,456,11569.3,1081.1,188.523,8295.06,327314, 170
250000,8663,318.767,1,509,18353.6,1368.61,130.249,21444,1.81449e+06, 171
250000,11264,661.884,1,912,67445.6,953.521,309.459,22589,624314, 172
250000,15268,899.321,1,1390,154918,1149.7,357.789,11474.3,327860, 173
250000,9962,363.017,1,598,38024.9,2644.66,499.274,35907.6,3.06888e+06, 174
250000,9711,590.274,1,784,45441.4,1424.02,303.563,12133.8,1.25093e+06, 175
250000,8615,180.38,1,607,6282.96,1880.57,45.4024,19836.5,4.31587e+06, 176
250000,7311,263.86,1,437,11185.1,1306.02,224.325,10803.9,1.08504e+06, 177
250000,9764,329.906,1,856,23140.8,553.858,34.9265,14765,531855, 178
250000,9206,491.031,1,697,33315.6,895.381,253.417,5773.59,226898, 179
250000,10679,260.162,1,356,5530.28,2522.89,587.155,21678,2.46695e+06, 18
250000,12587,1136.11,1,1670,241016,947.264,323.19,5080.76,151736, 180
250000,9126,147.856,1,411,8187.92,412.053,76.0565,14116.6,217401, 181
250000,5453,241.797,1,403,13838.8,1465,234.464,42947.9,2.17261e+06, 182
250000,3778,79.4052,1,133,633.277,1868.78,282.032,26567.1,2.00105e+06, 183
250000,13342,767.34,1,1149,101247,698.07,205.076,7325.31,154897, 184
250000,12520,501.859,1,920,41698.8,1186.42,301.32,7415.76,408378, 185
250000,5865,175.913,1,271,5005.31,1340.13,85.8609,12534.1,1.76162e+06, 186
250000,6617,121.44,1,172,689.997,790.233,147.887,12935.8,347784, 187
250000,5417,88.0927,1,173,810.389,1118.49,53.8584,9890.57,1.55959e+06, 188
250000,10705,563.97,1,911,64850.9,651.925,166.501,7504.77,167824, 189
250000,9056,723.908,1,1300,150156,999.343,337.651,4112.53,224367, 19
250000,4677,101.854,1,271,2330.37,1385.47,124.81,12799.1,1.60571e+06, 190
250000,5766,236.645,1,514,23661.7,1447.76,226.968,11002.5,1.08144e+06, 191
250000,7147,303.302,1,473,15547.5,1211.13,263.511,15405.4,852983, 192
250000,4318,87.1395,1,191,959.741,1569.63,161.603,33402.1,2.35213e+06, 193
250000,10875,224.212,1,538,9862.18,2776.76,512.162,44001,2.89539e+06, 194
250000,8673,284.301,1,480,17340.4,1000.04,39.4059,22591.4,1.92335e+06, 195
250000,6527,301.719,1,456,17374.4,1215.42,147.034,10676.9,1.04619e+06, 196
250000,4599,89.6287,1,147,758.453,1483.95,193.497,10511.2,1.11643e+06, 197
250000,6658,191.276,1,528,9098.02,2163.84,92.5363,35261.7,1.11198e+07, 198
250000,10679,384.856,1,547,13817.9,615.351,156.383,34070.9,656106, 199
250000,7967,710.978,1,1001,115102,1254.15,410.992,7338.16,348848, 2
250000,7342,81.5357,1,149,538.547,344.3,50.7458,2740.91,52015.2, 20
250000,6603,107.911,1,193,1792.25,878.817,21.639,8062.01,696180, 200
250000,5687,217.386,1,386,9686.81,749.498,95.1457,14053.6,511650, 21
250000,4668,274.031,1,439,20898.3,1464.4,326.956,7103.17,786697, 22
250000,11292,536.448,1,713,31825.1,541.169,133.882,31925,539956, 23
250000,13179,1055.45,1,1794,302723,890.738,272.094,4337.9,280686, 24
250000,10718,646.048,1,1130,154162,595.032,180.386,5536.03,180530, 25
250000,20257,1259.02,1,2198,435745,1378.1,466.574,10796.7,536817, 26
250000,9412,522.594,1,894,78484.6,1369.72,392.859,6321.08,547819, 27
250000,13544,894.934,1,1795,319689,638.571,164.092,11324.4,219246, 28
250000,11628,480.22,1,662,21014.9,734.313,210.93,4847.97,179808, 29
250000,4684,91.7905,1,167,1701.4,1319.3,72.6695,18827.7,1.35534e+06, 3
250000,9183,634.01,1,1147,133597,451.63,52.3489,3162.96,195656, 30
250000,4686,109.551,1,230,2180.35,999.348,100.338,14427.4,1.28355e+06, 31
250000,14108,968.938,1,1375,166884,696.506,176.001,32652.8,526196, 32
250000,5645,237.431,1,387,11439.2,1704.13,263.045,15301.9,1.7464e+06, 33
250000,4540,133.13,1,239,2581.49,2079.42,283.785,32435.7,3.57503e+06, 34
250000,12951,1008.07,1,1618,227493,599.32,129.238,5385.89,196094, 35
250000,7903,223.348,1,341,7873.52,936.852,163.209,39094.1,1.33211e+06, 36
250000,12587,450.289,1,806,79378.9,1545.06,241.526,24441.6,2.86048e+06, 37
250000,7609,458.949,1,778,78708,774.396,175.11,7800.55,296730, 38
250000,11515,941.053,1,1389,182230,821.173,305.285,9124.82,194074, 39
250000,6823,374.704,1,1072,63427.3,600.583,127.351,75864.5,3.13913e+06, 4
250000,5746,107.895,1,170,846.79,676.317,73.1887,6721.19,255459, 40
250000,8376,739.469,1,1144,150110,842.775,205.784,13821.9,596592, 41
250000,18544,1100.42,1,1502,204699,1312.27,402.29,11919,458628, 42
250000,6475,306.271,1,494,14902.7,944.072,213.8,8802.23,211609, 43
250000,9217,299.194,1,403,6714.71,682.68,137.829,5497.16,171387, 44
250000,8245,190.297,1,289,4969.95,2689.99,703.467,25902.3,2.57847e+06, 45
250000,7057,236.36,1,433,8391.03,1160.26,101.711,15996.3,1.54545e+06, 46
250000,5355,176.055,1,308,7884.91,1746.17,250.904,17359.5,1.89546e+06, 47
250000,13446,352.375,1,481,10270.7,2227.47,581.879,52285.5,2.43942e+06, 48
250000,8698,617.789,1,857,46305,1482.43,530.564,20457.8,1.36111e+06, 49
250000,15941,1097.88,1,1920,256537,1254.86,467.01,33936,689575, 5
250000,6748,148.601,1,494,16944.4,2052.54,74.3218,20458.4,8.52492e+06, 50
250000,9591,292.915,1,636,32413.5,1605.44,41.6061,46098.2,3.33071e+06, 51
250000,4654,113.912,1,184,1730.91,1130.5,64.8102,15766.8,1.31046e+06, 52
250000,14520,1442.96,1,2355,660406,600.591,193.482,7395.16,119577, 53
250000,4205,108.701,1,181,1582.05,1882.77,243.484,12580.9,1.61294e+06, 54
250000,7933,161.878,1,472,3666.76,2156.11,148.017,30090.4,1.09786e+07, 55
250000,16231,678.894,1,1148,80968.8,1166.17,354.93,11088.7,370433, 56
250000,6427,250.146,1,455,15707.9,1213.8,198.561,26067.9,1.37338e+06, 57
250000,9764,520.205,1,1011,91027.7,606.841,117.674,18998.9,391370, 58
250000,14649,968.064,1,1502,198223,1017.82,285.544,17980,410939, 59
250000,6331,139.072,1,280,5667.84,3305.51,666.782,28122.3,3.51889e+06, 6
250000,16267,1122.5,1,2307,595531,1225.87,369.125,11336.4,485644, 60
250000,22741,1361.61,1,2054,386138,1344.67,447.386,8387.61,607610, 61
250000,4416,81.202,1,122,617.978,1649.54,175.805,17018,1.74395e+06, 62
250000,9075,286.648,1,722,16970.1,2980.19,25.7965,30661,2.0124e+07, 63
250000,4540,69.9629,1,152,468.833,1061.16,66.207,23651,898689, 64
250000,6872,76.668,1,122,365.641,436.939,43.2931,2928.85,86633.2, 65
250000,15503,550.787,1,1073,60899.5,1152.74,348.965,31480.8,795007, 66
250000,10293,376.743,1,533,14657.2,1622.97,257.839,43174.2,2.66235e+06, 67
250000,12747,959.727,1,2051,245074,763.236,241.306,4636.18,171627, 68
250000,10837,219.917,1,327,3551.04,501.334,99.9437,10052.1,169086, 69
250000,6838,167.72,1,560,5466.88,1395.65,114.674,14893.5,1.69345e+06, 7
250000,18126,1166.57,1,2301,485610,1117.04,356.377,23883,1.93088e+06, 70
250000,8408,217.265,1,316,4038.92,840.118,70.3461,10005.3,533268, 71
250000,11959,284.965,1,440,4609.54,741.871,220.276,6839.18,186581, 72
250000,7455,237.994,1,330,4386.95,1652.66,413.949,12671.6,904694, 73
250000,6638,180.649,1,576,14889.8,1384.17,59.0132,15186.5,3.73016e+06, 74
250000,5826,188.84,1,375,7226.96,1278.24,131.206,24054.5,1.62931e+06, 75
250000,11497,461.553,1,1215,95672.6,1205.11,330.974,6423.24,509424, 76
250000,6977,319.889,1,541,21940.6,1088.4,119.974,22084.5,1.38965e+06, 77
250000,5985,201.218,1,312,4783.9,1398.87,162.898,21068.4,1.99348e+06, 78
250000,8898,556.069,1,954,89707,247.085,23.5703,1985.53,61461, 79
250000,13482,879.651,1,1513,156916,818.684,232.796,4767.36,218446, 8
250000,7953,176.222,1,265,3685.01,1877.43,303.667,34721.2,2.90858e+06, 80
250000,11066,299.365,1,464,9084.68,1027.44,107.371,9562.44,732845, 81
250000,5913,212.142,1,359,10974.8,1590.18,180.974,27943.3,2.7206e+06, 82
250000,10830,249.404,1,436,6492.43,2044.7,427.567,21863.2,2.12804e+06, 83
250000,12220,332.233,1,502,24762.2,2494.47,454.496,21761.3,2.54874e+06, 84
250000,9129,751.293,1,1184,186225,1188.32,268.109,11303.8,732969, 85
250000,16779,932.157,1,1143,80663.1,1250.09,402.611,6270.94,397938, 86
250000,9026,717.333,1,1013,101859,878.076,314.715,13629.7,412255, 87
250000,5861,320.353,1,881,39667.5,889.04,183.888,6616.59,433867, 88
250000,10409,396.298,1,537,19018.2,527.815,87.7148,4260.9,112631, 89
250000,5858,159.214,1,290,4408.16,1731.74,254.23,15003.8,1.61694e+06, 9
250000,10370,448.929,1,604,25466.3,761.371,164.879,15142.3,376463, 90
250000,3897,105.183,1,192,2572.29,756.448,91.3252,9550.29,503223, 91
250000,7628,217.525,1,559,15462.2,2741.09,42.9287,25257.7,1.59966e+07, 92
250000,14691,1343.06,1,2081,505789,548.433,161.514,4887.86,97172.7, 93
250000,4690,91.3279,1,165,1721.76,552.051,70.0662,6921.21,217940, 94
250000,8613,141.598,1,272,4382.13,466.824,56.215,11698.9,220084, 95
250000,20063,1741.05,1,2493,590775,1419.7,562.16,11523.2,395266, 96
250000,6392,210.167,1,380,14031.9,1804.75,305.292,42876.1,1.94735e+06, 97
250000,7226,249.174,1,343,6534.41,1146.32,119.312,15114.1,1.08474e+06, 98
250000,4329,68.1934,1,238,613.562,981.637,116.164,18136.9,1.56663e+06, 99
